language,question,option a,option b,option c,option d,correct
Go,Which type of variable is immutable by default in Go?,mutable,constant,immutable,variable,option c
Go,Which function is used to parse a string into a float in Go?,parseFloat(),strconv.ParseFloat(),float64(),toFloat(),option b
Go,Which function is used to create a new instance of a goroutine?,createGoroutine(),go(),goroutine(),startGoroutine(),option b
Go,Which of the following can be used to handle concurrency in Go?,goroutines,async,threads,tasks,option a
Go,How do you define a map in Go?,map[key]value,key:value,"map(key, value)",map{},option a
Go,What does the 'select' statement do in Go?,Selects a random value,Selects the fastest case,Used for handling multiple channels,None of the above,option c
Go,Which of the following methods is used to declare a variable in Go?,var variable_name,variable variable_name,let variable_name,define variable_name,option a
Go,How do you create a new channel in Go?,channel make(),chan make(),channel(),make(chan),option d
Go,Which function is used to close a channel in Go?,close(),channel.close(),channel_shutdown(),close_channel(),option a
Go,Which keyword is used to create an alias in Go?,type,alias,typealias,newtype,option a
Go,Which of the following is true about Go's garbage collection?,Go has automatic garbage collection,Go uses manual garbage collection,Go uses reference counting,Go has no garbage collection,option a
Go,Which package is commonly used for handling input and output in Go?,fmt,io,input,inputoutput,option a
Go,How do you create a slice in Go?,"[]int{1, 2, 3}","slice(1, 2, 3)","new_slice(1, 2, 3)","create_slice(1, 2, 3)",option a
Go,Which of the following is used to execute a block of code in Go?,defer,go,func,call,option c
Go,What is the function signature for the main function in Go?,func main(){},func main(){return},main func(),func main{ },option a
Go,What is the function used to generate a random number in Go?,rand(),math.rand(),math.random(),randInt(),option a
Go,What is the default value of a boolean in Go?,true,false,nil,undefined,option b
Go,Which of the following is used to implement interfaces in Go?,method signature,type,struct,all of the above,option d
Go,How do you import a package in Go?,import 'package_name',import package_name,package import 'name',import 'name',option a
Go,How do you declare a global variable in Go?,var variable_name,global variable_name,type variable_name,let variable_name,option a
Go,What is the output of `fmt.Println(5 + 3)` in Go?,5 + 3,8,53,Error,option b
Go,What function is used to print formatted output in Go?,print(),fmt.Print(),fmt.Println(),fmt.Printf(),option d
Go,Which of the following is true about Go's memory management?,Go uses stack allocation only,Go uses heap allocation only,Go uses both stack and heap memory,Go has no memory management,option c
Go,Which of the following is used for reading user input in Go?,input(),fmt.Scan(),read(),user_input(),option b
Go,How can you return multiple values from a function in Go?,"return val1, val2","return(val1, val2)","return(val1, val2)","return (val1, val2)",option a
Go,How do you initialize a map in Go?,make(map),map{},new_map(),initialize_map(),option a
Swift,What keyword is used to define a constant in Swift?,let,const,var,final,option a
Swift,Which type is used to represent a floating-point number in Swift?,Int,Double,Float,Decimal,option b
Swift,Which of the following is the correct way to create an array in Swift?,[],"[1, 2, 3]","array(1, 2, 3)","Array(1, 2, 3)",option b
Swift,What is the default value of a boolean in Swift?,true,false,nil,undefined,option b
Swift,How do you define a function in Swift?,def function(),func function(),function(),define function(),option b
Swift,What symbol is used for single-line comments in Swift?,#,//,/*,--,option b
Swift,How do you create a dictionary in Swift?,{},[],dict(),Dictionary(),option a
Swift,Which function is used to read input from the user in Swift?,read(),getInput(),input(),readLine(),option d
Swift,Which keyword is used to define an optional in Swift?,optional,opt,?,null,option c
Swift,Which type of loop is used to iterate through arrays in Swift?,for,foreach,while,repeat,option a
Swift,How do you initialize a class in Swift?,className(),ClassName(),new ClassName(),init(),option b
Swift,Which operator is used to concatenate strings in Swift?,&,+,.,-,option b
Swift,Which function is used to convert a string to an integer in Swift?,int(),toInt(),stringToInt(),Int(),option d
Swift,Which of the following is the correct way to define an array of integers in Swift?,"var arr = [1, 2, 3]","var arr: [Int] = [1, 2, 3]","var arr = Array(1, 2, 3)","arr = [1, 2, 3]",option a
Swift,Which function is used to print output to the console in Swift?,println(),print(),echo(),output(),option b
Swift,What does the 'guard' keyword do in Swift?,Checks for conditions,Exits the current function,Used to declare a constant,None of the above,option a
Swift,Which of the following is used for error handling in Swift?,throw,catch,try-catch,do-catch,option d
Swift,Which of these is a valid optional type in Swift?,String?,Optional String,String[],String!,option a
Swift,Which operator is used to unwrap an optional in Swift?,?,!,#,&,option b
Swift,How do you define a closure in Swift?,func(){},{ },closure {},def(){},option b
Swift,Which of the following data types does Swift support?,Int,Double,String,All of the above,option d
Swift,What is the function signature for the main function in Swift?,func main(){},func main{ },main func(){},None of the above,option d
Swift,Which symbol is used for multi-line comments in Swift?,#,//,/* */,--,option c
Swift,What is the correct syntax for a while loop in Swift?,while condition {},while (condition){},while{} condition,loop while condition,option a
Swift,Which type of data structure is an optional in Swift?,Array,Dictionary,Set,None of the above,option d
Swift,Which of the following is true about arrays in Swift?,Arrays are immutable,Arrays cannot hold different types of data,Arrays can hold any type of data,Arrays are indexed by names,option b
Swift,How do you add an item to the end of an array in Swift?,append(),insert(),add(),insertAtEnd(),option a
Swift,Which method is used to sort an array in Swift?,sort(),sorted(),arr.sort(),arr.sorted(),option d
Swift,What does 'Optional Binding' allow you to do in Swift?,Handle optionals safely,Unwrap optionals,Handle errors,Both A and B,option d
Swift,How do you define an empty dictionary in Swift?,var dict = {},var dict = [],var dict = [:],dict = {},option c
Swift,Which of the following statements is correct for class inheritance in Swift?,class Child : Parent,class Child -> Parent,class Child inherits Parent,class Child : inherits Parent,option a
Swift,What does the 'defer' statement do in Swift?,Executes at the beginning of the function,Executes only once,Executes when the function exits,None of the above,option c
Swift,Which keyword is used to define a protocol in Swift?,protocol,define,interface,class,option a
Swift,What is the output of `print(5 + 3)` in Swift?,8,53,5+3,Error,option a
Swift,How do you create a set in Swift?,var set = Set(),var set = [],var set = {},set = [],option a
Swift,What is the default value of an uninitialized integer in Swift?,0,nil,undefined,1,option b
Swift,How do you iterate through a dictionary in Swift?,"for key, value in dict",for key in dict,"foreach key, value in dict",for each in dict,option a
Swift,Which type of loop is used to iterate over a range of numbers in Swift?,for,while,repeat,loop,option a
Swift,Which of the following is a valid tuple in Swift?,"var tuple = (1, 'hello')","var tuple = (1, 'hello', true)","var tuple = (1, 2)",All of the above,option d
Swift,Which type is used to represent a boolean value in Swift?,Bool,Boolean,bool,boolean,option a
Kotlin,Which keyword is used to define a variable in Kotlin?,let,var,const,define,option b
Kotlin,Which function is used to convert a string to uppercase in Kotlin?,toUpper(),uppercase(),toUpperCase(),upperCase(),option c
Kotlin,What is the default value of a boolean variable in Kotlin?,true,false,null,undefined,option b
Kotlin,What is the function to read input from the user in Kotlin?,input(),read(),readLine(),scanner(),option c
Kotlin,Which of the following is used to define a function in Kotlin?,def functionName(),function functionName(),fun functionName(),func functionName(),option c
Kotlin,What is the correct way to define an array in Kotlin?,var arr = [],"var arr = arrayOf(1, 2, 3)","var arr = Array(1, 2, 3)","arr = [1, 2, 3]",option b
Kotlin,Which operator is used for string concatenation in Kotlin?,&,+,.,#,option b
Kotlin,Which of the following is used to define a constant in Kotlin?,let,var,const,val,option d
Kotlin,Which function is used to convert a string to an integer in Kotlin?,parseInt(),stringToInt(),Int.parse(),toInt(),option d
Kotlin,Which type is used to represent a floating-point number in Kotlin?,Double,Float,Int,Decimal,option a
Kotlin,What is the keyword used to define a class in Kotlin?,class,data class,className,define class,option a
Kotlin,Which of the following is the correct syntax to define a nullable type in Kotlin?,String?,String!?,String??,String[],option a
Kotlin,Which of these is the correct way to check for nullability in Kotlin?,str == null,str == ?,str == undefined,str != null,option d
Kotlin,How do you create a mutable list in Kotlin?,var list = listOf(),var list = mutableListOf(),var list = [],var list = ArrayList(),option b
Kotlin,What is the function used to find the length of a string in Kotlin?,len(),length(),getLength(),size(),option b
Kotlin,Which operator is used to compare two variables in Kotlin?,,,=,equals(),option a
Kotlin,How do you define a lambda function in Kotlin?,{ x -> x * x },lambda(x) { x * x },function(x) => x * x,-> { x => x * x },option a
Kotlin,What does the 'when' keyword do in Kotlin?,Defines a loop,Executes a conditional expression,Declares a class,Defines a function,option b
Kotlin,Which of the following is the correct way to handle exceptions in Kotlin?,try-catch,try-except,try-catch-finally,catch-try,option c
Kotlin,What is the keyword used to create an interface in Kotlin?,interface,implement,abstract,def,option a
Kotlin,Which type of loop is used to iterate through a range in Kotlin?,for,while,foreach,do-while,option a
Kotlin,What is the function to remove an item from a list in Kotlin?,remove(),delete(),pop(),removeAt(),option d
Kotlin,Which of the following is the correct way to define a null-safe call in Kotlin?,variable?.method(),variable!method(),variable.method()?,variable?.method()?,option a
Kotlin,Which type is used to represent a boolean value in Kotlin?,bool,boolean,Boolean,boolen,option c
Kotlin,Which method is used to add an element to the end of a mutable list in Kotlin?,add(),append(),insert(),push(),option a
Kotlin,Which of the following is the correct way to create a set in Kotlin?,set(),hashSetOf(),[],setOf(),option d
Kotlin,What is the function to remove all items from a list in Kotlin?,clear(),empty(),deleteAll(),clearList(),option a
Kotlin,What does the 'apply' function do in Kotlin?,Executes a block of code,Returns a boolean value,Creates a new object,Transforms a string,option a
Kotlin,Which of these is the correct way to create a range of numbers in Kotlin?,1..10,1 to 10,10->1,"range(1, 10)",option a
Kotlin,What is the function used to check if a string contains another string in Kotlin?,contains(),include(),containsString(),find(),option a
Kotlin,Which of the following is the correct way to define a nullable variable in Kotlin?,var str: String,var str: String? = null,var str: String = null,str: String = null,option b
Kotlin,Which type of collection allows duplicates in Kotlin?,Set,Map,List,HashMap,option c
Kotlin,What is the function used to join elements of a list into a string in Kotlin?,toString(),join(),joinToString(),combine(),option c
Kotlin,What does the 'is' operator do in Kotlin?,Checks for type,Checks for equality,Checks for null,Checks for subclass,option a
Kotlin,Which function is used to get the first element of a list in Kotlin?,first(),head(),top(),getFirst(),option a
Kotlin,What is the function to find the maximum value in a list of numbers in Kotlin?,max(),findMax(),maximum(),maxValue(),option a
Kotlin,What is the correct syntax for a while loop in Kotlin?,while condition,while(condition),loop while,while (condition),option d
Kotlin,Which function is used to filter a collection in Kotlin?,filter(),find(),extract(),select(),option a
Kotlin,What is the function used to sort a list in Kotlin?,sort(),order(),sortList(),sorted(),option d
Rust,Which keyword is used to declare a variable in Rust?,var,let,const,define,option b
Rust,What is the default value of a variable in Rust?,null,undefined,0,empty string,option b
Rust,What is the correct way to define a constant in Rust?,const CONSTANT_NAME = value,let CONSTANT_NAME = value,const CONSTANT_NAME : Type = value,var CONSTANT_NAME = value,option c
Rust,Which of these is used to access a value of a reference in Rust?,&,*,ref,->,option b
Rust,What is the function to get the length of a string in Rust?,length(),size(),getLength(),len(),option d
Rust,Which operator is used to check equality in Rust?,,equals(),=,,option a
Rust,Which type is used to represent a boolean in Rust?,bool,boolean,true/false,int,option a
Rust,Which function is used to parse a string to an integer in Rust?,parseInt(),toInt(),parse(),to_integer(),option c
Rust,What does the `match` keyword do in Rust?,Checks for equality,Executes conditional logic,Defines a loop,Declares a constant,option b
Rust,Which keyword is used to define a block of code that may return a value in Rust?,fn,block,let,value,option a
Rust,Which of these is the correct way to handle errors in Rust?,try-catch,expect,unwrap,Result<>,option d
Rust,How do you define a mutable variable in Rust?,let mut var = value,let var = value,var mut = value,mut let var = value,option a
Rust,Which function is used to check if an option is `Some` in Rust?,isSome(),is_none(),is_some(),none(),option c
Rust,Which of the following is the correct syntax for a `while` loop in Rust?,while condition,while (condition),loop while,while condition do,option b
Rust,What is the correct way to define a vector in Rust?,let vec = Vec::new(),let vec = Vec[],let vec = [],let vec = Vec::[],option a
Rust,Which operator is used to dereference a reference in Rust?,&,*,.,->,option b
Rust,Which function is used to convert a string to a number in Rust?,parse(),toNumber(),toInt(),from_str(),option a
Rust,What does the `Option` type represent in Rust?,A result of an operation,A container for a value that may or may not be present,An array of values,A reference type,option b
Rust,What is the default type of a number in Rust?,int,i32,float,double,option b
Rust,Which of the following is used to define a mutable reference in Rust?,mut &x,ref mut x,x mut,mut x,option a
Rust,Which of these is used to create a struct in Rust?,struct MyStruct,new MyStruct,struct: MyStruct,struct MyStruct(),option a
Rust,How do you define a constant in Rust?,const MY_CONST = 10,let MY_CONST = 10,const MY_CONST: i32 = 10,val MY_CONST = 10,option c
Rust,Which of the following is the correct way to initialize an array of integers in Rust?,"let arr = [1, 2, 3]","let arr: [i32; 3] = [1, 2, 3]",let arr = [1..10],"arr = [1, 2, 3]",option b
Rust,What is the correct way to create an immutable reference in Rust?,let ref x = value,let &x = value,let ref &x = value,let x = &value,option b
Rust,Which of the following is used to create an enum in Rust?,enum MyEnum,MyEnum enum,enum: MyEnum,enum MyEnum(),option a
Rust,Which operator is used to compare two values for inequality in Rust?,!=,<>,!==,notEqual(),option a
Rust,How do you define a reference in Rust?,let x = &value,let &x = value,ref value = x,ref &x = value,option a
Rust,Which of the following is used to perform pattern matching in Rust?,match,switch,if,pattern,option a
Rust,Which function is used to read user input in Rust?,read(),input(),read_line(),get_input(),option c
Rust,Which of the following is the correct way to call a method on a struct in Rust?,object.method(),object::method(),method(object),object->method(),option a
Rust,What is the correct way to pass a reference to a function in Rust?,&x,x&,ref x,value->x,option a
Rust,What does the `unwrap()` function do in Rust?,Returns a value from an Option if Some,Handles errors,Unwraps a tuple,Converts an Option to a Result,option a
Rust,Which of the following is used to create a vector in Rust?,Vec::new(),new Vec[],Vec[],vec![],option d
Rust,What is the function used to clone a value in Rust?,clone(),copy(),duplicate(),replicate(),option a
Rust,Which of the following is used to check if a value is `None` in Rust?,isNone(),none(),is_none(),isEmpty(),option c
Rust,What is the correct way to define a closure in Rust?,|x| x + 1,fn(x) -> x + 1,x => x + 1,fn(x): x + 1,option a
Rust,How do you define a trait in Rust?,trait MyTrait,trait: MyTrait,def MyTrait,class MyTrait,option a
Rust,Which function is used to exit the program in Rust?,exit(),quit(),return(),process::exit(),option d
Rust,How do you define a function that takes ownership of an argument in Rust?,fn func(value: T),fn func(value: T) -> T,fn func(T) -> T,fn func(value: T),option d
C#,Which keyword is used to declare a variable in C#?,var,let,const,int,option a
C#,Which keyword is used to declare a constant in C#?,const,static,final,readonly,option a
C#,What is the default value of an integer in C#?,0,1,null,undefined,option a
C#,Which of these is used to define a method in C#?,void methodName(),methodName(),def methodName(),function methodName(),option a
C#,Which of these is the correct way to define a class in C#?,class MyClass {},class MyClass,class MyClass() {},class: MyClass {},option a
C#,Which keyword is used to create a new object in C#?,new,object,create,var,option a
C#,Which symbol is used for comments in C#?,//,#,/*,--,option a
C#,What is the correct way to define a list in C#?,List<T> myList = new List<T>();,List<T> myList = new List();,ArrayList myList = new ArrayList();,List<T> myList = new();,option a
C#,Which method is used to convert a string to an integer in C#?,parseInt(),ToInt32(),Convert.ToInt32(),parse(),option c
C#,Which of the following is used to check for equality in C#?,,equals(),,isEqualTo(),option a
C#,Which keyword is used to create an interface in C#?,interface,class,impl,abstract,option a
C#,How do you define an array in C#?,int[] arr,int arr[],arr[] int,Array arr,option a
C#,Which of these is used to create a constructor in C#?,class Constructor(),Constructor(),void Constructor(),public Constructor(),option d
C#,What is the correct way to declare a variable in C#?,int x;,x = 10;,var int x;,int x = 10;,option d
C#,What is the default value of a string in C#?,empty string,null,undefined,0,option b
C#,Which of these is the correct way to declare an array in C#?,"int[] arr = {1,2,3};","int arr[] = {1, 2, 3};","int arr = new int[] {1, 2, 3};","arr = [1, 2, 3];",option a
C#,Which of the following is used for pattern matching in C#?,match,case,switch,match-case,option c
C#,Which of these is used to define a method in C#?,void method(),method(),def method(),function method(),option a
C#,How do you implement exception handling in C#?,try-catch,try-except,catch-try,throw-catch,option a
C#,Which of these is used to call a base class method in C#?,base.method(),super.method(),this.method(),call.base.method(),option a
C#,Which of the following is used to declare a constant in C#?,const,readonly,static,define,option a
C#,Which function is used to sort a list in C#?,Sort(),OrderBy(),OrderByDescending(),List.Sort(),option d
C#,How do you concatenate two strings in C#?,string1 + string2,string1.concat(string2),"string.Concat(string1, string2)",string1.append(string2),option c
C#,Which keyword is used to implement a delegate in C#?,delegate,action,event,function,option a
C#,Which method is used to convert a string to a date in C#?,DateTime.Parse(),Convert.ToDateTime(),DateTime.ParseExact(),string.ToDateTime(),option a
C#,Which of these is used to inherit from a class in C#?,class MyClass : BaseClass,class MyClass extends BaseClass,MyClass inherits BaseClass,class MyClass(BaseClass),option a
C#,What is the purpose of the `using` keyword in C#?,Namespace import,File handling,Creating a loop,Class definition,option a
C#,Which operator is used to perform type casting in C#?,:,(),as,->,option b
C#,How do you define a property in C#?,public string Name { get; set; },public property string Name { get; set; },property string Name { set; get; },public Name get() { },option a
C#,Which of these is used to break a loop in C#?,break,continue,stop,exit,option a
C#,Which method is used to convert a string to lowercase in C#?,ToLower(),ToLowerCase(),lower(),to_lower(),option a
C#,What is the purpose of the `this` keyword in C#?,Refers to the current instance of the class,Refers to the parent class,Refers to the method,Refers to the current method,option a
C#,Which of these is used to implement a property in C#?,get; set;,get() { return; },set() { return; },public property Name { },option a
C#,Which method is used to get the length of a string in C#?,Length(),size(),getSize(),strLength(),option a
C#,What is the correct way to declare a tuple in C#?,"var tuple = (1, 'hello')","tuple = (1, 'hello')",var tuple = (1; 'hello'),"tuple = [1, 'hello']",option a
C#,Which of the following is the correct way to handle null values in C#?,Null Coalescing Operator,Try-Catch Block,Nullable types,Optional chaining,option a
C#,How do you declare a multi-line comment in C#?,// comment,/* comment */,# comment,<!-- comment -->,option b
C#,Which of these is used to declare a static method in C#?,static void Method(),void static Method(),Method() static,static Method(),option a
C#,How do you create a new thread in C#?,new Thread(),Thread.Start(),Thread.Create(),new Thread().start(),option a
C#,What is the correct syntax for a `foreach` loop in C#?,foreach (var item in collection) {},for (var item in collection) {},foreach (item in collection) {},for each (item in collection) {},option a
C,Which symbol is used to declare a comment in C?,//,/*,#,--,option a
C,Which function is used to read a string in C?,scanf(),gets(),fscanf(),read(),option b
C,Which header file is required for input and output functions in C?,stdio.h,stdlib.h,string.h,math.h,option a
C,Which of the following is a correct way to define a variable in C?,int x;,var x;,x = 10;,define x 10;,option a
C,Which operator is used to assign a value in C?,=,,,!=,option a
C,How do you declare a constant in C?,const int x = 10;,#define x 10;,static int x = 10;,final int x = 10;,option a
C,What is the default value of a local variable in C?,0,null,undefined,garbage value,option d
C,Which of these is used to declare an array in C?,int arr[];,arr[] int;,array int[];,int arr[10];,option d
C,Which function is used to find the length of a string in C?,strlen(),strlength(),stringLength(),len(),option a
C,Which keyword is used to create a loop in C?,loop,for,while,do-while,option b
C,Which of these is the correct syntax for a for loop in C?,for(i = 0; i < 10; i++) {},for(i < 10; i++) {},for(i; i < 10) {},for i = 0; i < 10; i++ {},option a
C,"What is the output of `printf(""%d"", 10 / 3)` in C?",3,3.33,10,0,option a
C,What is the correct way to define a function in C?,void functionName(),functionName(),int functionName(),def functionName(),option a
C,Which operator is used to access a member of a structure in C?,.,->,&,*,option a
C,Which of the following is used to declare a pointer in C?,*pointer,&pointer,pointer[],pointer*,option a
C,What is the correct way to define a structure in C?,struct MyStruct { int x; },struct MyStruct; { int x; },struct MyStruct(int x) {},struct MyStruct { int x; };,option d
C,What does `malloc()` do in C?,Allocates memory,Frees memory,Prints memory,Initializes memory,option a
C,Which function is used to free dynamically allocated memory in C?,free(),malloc(),dealloc(),delete(),option a
C,Which function is used to compare two strings in C?,strcmp(),strcompare(),stringcmp(),compare(),option a
C,Which function is used to concatenate two strings in C?,strcat(),stringcat(),concat(),append(),option a
C,"What is the output of the following C code: `printf(""%d"", 4 % 3);`",1,2,3,4,option a
C,Which function is used to open a file in C?,fopen(),open(),fileOpen(),openFile(),option a
C,What does the `continue` statement do in C?,Skips the current iteration of the loop,Ends the loop,Exits the program,Restarts the program,option a
C,What is the correct way to declare a function pointer in C?,int (*ptr)(),int ptr()(),ptr int(),int ptr[](),option a
C,What is the return type of `main()` function in C?,void,int,char,float,option b
C,Which of the following is used to terminate a loop in C?,break,continue,exit,return,option a
C,What is the correct way to declare a multi-dimensional array in C?,int arr[2][2];,"int arr[2, 2];","int arr[] = {2, 2};","int arr[][] = {2, 2};",option a
C,Which of the following is the correct syntax for a while loop in C?,while(condition) {},loop(condition) {},for(condition) {},do-while(condition) {},option a
C,Which of the following is used to declare a function in C?,void function_name(),function_name(),int function_name(),func(),option a
C,Which of the following is the correct way to open a file in C?,"fopen(filename, mode)","fileopen(filename, mode)","open(filename, mode)","openfile(filename, mode)",option a
C,What does the `sizeof` operator do in C?,Returns the size of a variable,Returns the length of an array,Prints the size of the program,Returns the value of a pointer,option a
C,Which function is used to print formatted output in C?,printf(),sprintf(),fprintf(),write(),option a
C,Which of the following is used to define a macro in C?,#define,#macro,macro,define,option a
C,How do you declare a variable in C?,type variable;,type variable = value;,var type variable;,var variable;,option a
C,What is the correct way to read a character from input in C?,"scanf(""%c"", &ch);","scanf(""%s"", &ch);",gets(ch);,input(ch);,option a
C,How do you define a constant value in C?,#define CONSTANT 100,const int CONSTANT = 100;,constant int CONSTANT = 100;,const CONSTANT 100;,option a
C,What does the `sizeof()` operator return in C?,The size of a variable or datatype,The length of an array,The total memory used by the program,The number of elements in a list,option a
C,What is the correct way to return a value from a function in C?,return value;,return value;,value return;,return();,option b
C,Which function is used to get the absolute value of a number in C?,abs(),absolute(),fabs(),absvalue(),option a
MATLAB,Which symbol is used for comments in MATLAB?,%,//,#,--,option a
MATLAB,What is the default data type for numbers in MATLAB?,double,int,float,single,option a
MATLAB,Which command is used to clear variables from the workspace?,clear,clc,close,reset,option a
MATLAB,Which function is used to create a 2D plot in MATLAB?,plot(),graph(),draw(),line(),option a
MATLAB,How do you create a matrix in MATLAB?,[1 2; 3 4],"[[1 2], [3 4]]","matrix(1,2,3,4)",{1 2; 3 4},option a
MATLAB,Which command is used to display text in MATLAB?,disp(),echo(),print(),show(),option a
MATLAB,Which operator is used for element-wise multiplication?,.*,*,.*.,*.,option a
MATLAB,How do you define a function in MATLAB?,function y = myFunc(x),def myFunc(x):,func y = myFunc(x),function myFunc(x) = y,option a
MATLAB,Which command is used to close all figures?,close all,clc,clear all,reset,option a
MATLAB,Which loop is used to iterate a specific number of times?,for loop,while loop,if loop,repeat loop,option a
MATLAB,How do you create a column vector?,[1;2;3],[1 2 3],"(1,2,3)",{1;2;3},option a
MATLAB,Which function is used to find the size of a matrix?,size(),length(),rows(),dims(),option a
MATLAB,Which keyword is used to create a script file?,No keyword needed,script,function,program,option a
MATLAB,How do you suppress output in MATLAB?,End the line with ;,Use %,Use / /,Use ...,option a
MATLAB,What does `clc` command do?,Clears command window,Clears workspace,Closes figures,Stops execution,option a
MATLAB,Which operator is used for matrix multiplication?,*,.*,^,+*+,option a
MATLAB,Which function is used to create a 3D plot?,plot3(),plot(),mesh(),surf(),option a
MATLAB,How do you generate random numbers between 0 and 1?,rand(),randi(),random(),rand1(),option a
MATLAB,Which symbol is used to separate elements in a row vector?,space,comma,semicolon,colon,option a
MATLAB,What is the starting index of an array in MATLAB?,1,0,-1,Depends on definition,option a
Dart,Which of the following is used to declare a variable in Dart?,var,let,const,int,option a
Dart,Which symbol is used for single-line comments in Dart?,//,#,/*,--,option a
Dart,What is the correct syntax to define a function in Dart?,void functionName(),function functionName(),def functionName(),function() {},option a
Dart,What is the return type of the main function in Dart?,void,int,String,double,option a
Dart,Which of these is used to define a constant value in Dart?,final,const,var,immutable,option a
Dart,Which operator is used to concatenate strings in Dart?,+,concat,&,#,option a
Dart,Which of the following is a valid list declaration in Dart?,List<int> arr = [];,List arr = [];,int[] arr = [];,List[] arr = [],option a
Dart,Which of these is used to create an immutable list in Dart?,const List,final List,List const,List immutable,option a
Dart,Which method is used to add an element to a list in Dart?,add(),insert(),push(),append(),option a
Dart,What is the syntax for declaring a map in Dart?,"Map<String, String> map = {}","Map<String, String> map = []",Map map = {},map = {},option a
Dart,Which function is used to read input from the user in Dart?,stdin.readLineSync(),input(),read(),getUserInput(),option a
Dart,Which keyword is used to define a class in Dart?,class,object,def,type,option a
Dart,What is the correct way to define a constructor in Dart?,ClassName(),ClassName(parameters),ClassName {}(),constructor(),option b
Dart,How do you check the type of a variable in Dart?,variable.runtimeType,typeof(variable),checkType(variable),variable.type(),option a
Dart,Which method is used to split a string into an array in Dart?,split(),explode(),tokenize(),divide(),option a
Dart,Which of these is the correct way to write a for loop in Dart?,for (int i = 0; i < 10; i++) {},for (i = 0; i < 10; i++) {},for (i: 0..10) {},for i = 0 to 10 {},option a
Dart,Which of the following is a valid way to define a constant map in Dart?,"const Map<String, int> map = {}","final Map<String, int> map = {}","Map<String, int> map = const {}",All of the above,option d
Dart,How do you define an abstract class in Dart?,abstract class ClassName {},class abstract ClassName {},abstract ClassName {},class ClassName abstract {},option a
